advertisment_site,image,marka,gads,tilpums,tips,nobraukums,cena
/msg/lv/transport/cars/toyota/rav-4/cbombx.html,https://i.ss.lv/gallery/7/1305/326021/65204178.th2.jpg,ToyotaRAV 4,2005,2.0,D,248000,3390
/msg/lv/transport/cars/seat/tarraco/cfimem.html,https://i.ss.lv/gallery/7/1288/321967/64393254.th2.jpg,SeatTarraco,2020,2.0,D,49000,26490
/msg/lv/transport/cars/seat/alhambra/bkokhx.html,https://i.ss.lv/gallery/7/1319/329512/65902248.th2.jpg,SeatAlhambra,2011,2.0,D,192000,9290
/msg/lv/transport/cars/audi/a6/bjxegd.html,https://i.ss.lv/gallery/7/1319/329512/65902231.th2.jpg,AudiA6,2007,3.0,D,,4500
/msg/lv/transport/cars/bmw/320/cdipoi.html,https://i.ss.lv/gallery/7/1314/328452/65690380.th2.jpg,Bmw320,2014,2.0,D,295000,10880
/msg/lv/transport/cars/bmw/x1/cbimnl.html,https://i.ss.lv/gallery/6/1197/299176/59835123.th2.jpg,BmwX1,2011,2.0,D,174000,7200
/msg/lv/transport/cars/audi/a4/cpfmo.html,https://i.ss.lv/gallery/7/1286/321457/64291298.th2.jpg,AudiA4,2016,2.0,D,223000,12290
/msg/lv/transport/cars/mazda/cx-5/cbdegh.html,https://i.ss.lv/gallery/7/1291/322734/64546739.th2.jpg,MazdaCX-5,2014,2.2,D,221000,8500
/msg/lv/transport/cars/skoda/superb/cfleie.html,https://i.ss.lv/gallery/7/1304/325995/65198926.th2.jpg,SkodaSuperb,2020,2.0,D,155000,20850
/msg/lv/transport/cars/audi/allroad/bigpje.html,https://i.ss.lv/gallery/7/1305/326010/65201950.th2.jpg,AudiAllroad,2013,2.0,D,201000,11900
/msg/lv/transport/cars/subaru/b9tridelle/djcnb.html,https://i.ss.lv/gallery/7/1308/326935/65386979.th2.jpg,SubaruB9 Tribeca,2008,3.6,,340000,6700
/msg/lv/transport/cars/bmw/325/fmbnm.html,https://i.ss.lv/gallery/7/1319/329507/65901296.th2.jpg,Bmw325,2002,2.5,,187000,4900
/msg/lv/transport/cars/mercedes/vito/djcel.html,https://i.ss.lv/gallery/7/1306/326353/65270554.th2.jpg,MercedesVito,2008,2.1,D,252000,7800
/msg/lv/transport/cars/mitsubishi/pajero/emllc.html,https://i.ss.lv/gallery/7/1313/328004/65600678.th2.jpg,MitsubishiPajero,1984,2.6,,163000,2650
